2.82,2.73,132.00
2.82,2.82,129.80
2.82,2.82,130.80
2.82,2.82,130.80
2.73,2.82,149.60
2.82,2.82,131.10
2.82,2.82,130.40
2.82,2.73,130.60
2.82,2.73,127.90
2.82,2.73,131.10
2.82,2.73,129.80
2.82,2.73,127.30
2.82,2.82,129.80
2.73,2.82,131.40
2.82,2.82,131.90
2.82,2.82,131.80
2.82,2.73,131.70
2.73,2.73,132.10
2.73,2.73,131.70
2.82,2.73,131.00
2.73,2.73,131.80
2.73,2.82,131.70
2.82,2.82,131.80
2.82,2.73,131.30
2.82,2.82,131.30
2.82,2.73,131.80
2.82,2.73,131.90
2.73,2.73,131.50
2.73,2.82,129.50
2.73,2.73,130.90
2.73,2.82,131.30
2.73,2.82,132.90
2.82,2.82,131.50
2.73,2.73,131.60
2.73,2.82,131.30
2.73,2.82,131.30
2.73,2.73,132.70
2.82,2.82,131.70
2.73,2.82,131.60
2.73,2.82,132.00
2.82,2.82,132.60
2.82,2.82,131.90
2.82,2.82,131.80
2.82,2.82,131.30
2.73,2.82,132.00
2.73,2.82,132.40
2.73,2.82,131.30
2.73,2.73,127.70
2.73,2.82,134.00
2.73,2.82,132.50
2.82,2.82,132.80
2.82,2.73,127.70
2.73,2.82,133.10
2.82,2.82,128.60
2.82,2.82,132.60
2.82,2.82,133.30
2.73,2.82,132.20
2.73,2.82,133.00
2.73,2.82,133.00
2.82,2.82,132.30
2.82,2.82,131.20
2.82,2.82,129.30
2.82,2.82,132.60
2.82,2.82,132.60
2.82,2.82,127.30
2.82,2.82,133.30
2.82,2.82,132.30
2.82,2.82,127.30
2.82,2.82,128.10
2.82,2.82,132.00
2.73,2.82,134.00
2.82,2.82,132.50
2.91,2.82,133.00
2.73,2.82,133.10
2.82,2.82,133.10
2.82,2.82,133.70
2.82,2.82,132.40
2.82,2.82,130.00
